app,route,screen_id,entry_point,role,business_purpose,data_source,states_relevant,interactive_regions,capture_required,capture_reason,status
OLD,/product-system/products/:templateCode/structure/conexiune-litere-acm-preturi,ps-structure-acm-prices,structure deep link,admin;manager;sales,Conexiune prețuri ACM,PS + pricing,readonly,table,yes,structure page,captured
OLD,/product-system/blueprint-dossier,blueprint-dossier-studio,DEV nav,admin-dev,Autorare dossier,dossier API,sections,sidebar;editors,yes,dev audit,captured
OLD,/product-system/output-blocks-preview,output-blocks-preview,direct/module map,admin-dev,Preview output blocks,preview API,investigate,preview,yes,INVESTIGATE,captured
OLD,/quotes,oferte-list,nav Oferte / sales home,admin;manager;sales,Registru oferte,Quotes API,empty;populated,list;filters,yes,quote registry,captured
OLD,/quotes/:quoteId,oferte-detail,list selection,admin;manager;sales,Workspace ofertă,Quotes API,selected;gates,actions;send;revision dialogs,yes,quote detail,captured
OLD,/orders,comenzi-list,nav Comenzi,admin;manager;sales,Registru comenzi,Orders API,empty;populated,list,yes,order registry,captured
OLD,/orders/:orderId,comenzi-detail,list selection,admin;manager;sales,Detaliu comandă,Orders API,selected;not-found,detail;execution CTA,yes,order detail,captured
OLD,/execution,planificare-dashboard,nav Planificare,admin;manager;sales,Planificare execuție,Execution API,loading;empty;table,jobs table,yes,planning,captured
OLD,/execution/:order_id,execution-detail,planificare row,admin;manager;sales,Workspace execuție comandă,execution API,loading;missing-plan;reality,header;work panel,yes,execution UX,captured
OLD,/execution/machine-runs,machine-runs-list,nav Rulări utilaj,operator;manager;admin,Registru rulări CNC,Machine runs API,empty;error;scope,scope;create dialog,yes,machine runs,captured
OLD,/execution/machine-runs/:machineRunId,machine-run-detail,list,operator;manager;admin,Ciclu rulare utilaj,machine runs API,statuses,actions,yes,run detail,explained
OLD,/execution/ops-graph,ops-graph,nav Ops-Graph,manager;admin,Graf sarcini read-only,Execution plan V2,order picker,table;assign,yes,audit surface,captured
OLD,/execution/reality-review,operational-reality-review,direct/deep,admin;manager;sales,Dashboard gap-uri,operational-reality API,filters,gap list,yes,hidden nav,captured
OLD,/operator,operator-task-legacy,nav legacy,operator;manager;admin,Acțiuni pe un task,Operator API,task selected,start;complete;materials,yes,legacy compat,captured
OLD,/tablet,tablet-station-select,nav legacy,operator;manager;admin,Alegere stație,tablet config,demo;live;empty,station cards,yes,legacy tablet,captured
OLD,/tablet/:stationId,tablet-station-queue,station pick,operator;manager;admin,Coadă stație,tablet API,live;demo;error,queue,yes,tablet queue,explained
OLD,/tablet/:stationId/:taskId,tablet-task-detail,queue row,operator;manager;admin,Execuție task stație,tablet API,in_coada;completed,start;complete;help,yes,tablet task,explained
OLD,/employees,angajati-registry,nav Angajați,manager;admin,Registru forță de muncă,Employees API,list,inline edit,yes,HR registry,captured
OLD,/attendance,pontaj,nav Pontaj,manager;admin,Pontaj,Attendance API,periods,calendar/table,yes,attendance,captured
OLD,/attendance/effects,attendance-effects,pontaj link,manager;admin,Efecte pontaj,attendance effects API,list,table,yes,attendance effects,captured
OLD,/employees-records,evidenta-hr-list,nav Evidență HR,manager;admin,Listă dosare HR,HR API,list,profile links,yes,HR records,captured
OLD,/employees-records/:employeeId,employee-profile,HR row,manager;admin,Profil HR,HR API,loaded;not-found,sections,yes,employee profile,captured
OLD,/employee-payments,plati-angajati,nav Plăți,manager;admin,Plăți interne,Payments API,list,rows,yes,payments,captured
OLD,/employee-advances,avansuri,nav Avansuri,admin,Avansuri,Advances API,list,rows,yes,advances,captured
OLD,/utilaje,utilaje,nav Utilaje,operator;manager;admin,Utilaje/zone,Utilaje API,filter;selected,filter;side panel,yes,machines,captured
OLD,/inventory,inventar,nav Inventar,admin;manager;sales,Solduri materiale,Inventory API,tabbed,material tabs,yes,inventory,captured
OLD,/inventory?tab=all,inventory-tab-all,tab,admin;manager;sales,Toate materialele,inventory API,mock;live,grid,yes,tab,captured
OLD,/inventory?tab=placi,inventory-tab-placi,tab,admin;manager;sales,Plăci,inventory API,detail,picker,yes,tab,captured
OLD,/inventory?tab=role,inventory-tab-role,tab,admin;manager;sales,Role,inventory API,list,list,yes,tab,captured
OLD,/inventory?tab=cerneala,inventory-tab-cerneala,tab,admin;manager;sales,Cerneluri,inventory API,mock notes,list,yes,tab,captured
OLD,/inventory?tab=altele,inventory-tab-altele,tab,admin;manager;sales,Alte materiale,inventory API,list,list,yes,tab,captured
OLD,/inventory?tab=sheet-quality,inventory-sheet-quality,tab,admin;manager;sales,Calitate formate,sheet quality API,filters,quality panel,yes,tab,captured
OLD,/inventory/pricing,preturi,nav Prețuri,admin,Prețuri materiale / adaos,Pricing API,cost;source;markup,tables;edit,yes,pricing,captured
OLD,/clients,clienti-list,nav Clienți,admin;manager;sales,Registru clienți,Clients API,search;list,open workspace,yes,clients,captured
OLD,/clients/:clientName,client-workspace,client list,admin;manager;sales,Hub 360 client,clients + commercial,tabbed,header;tabs,yes,client hub,captured
OLD,/clients/:clientName,client-tab-overview,tab,admin;manager;sales,Sumar client,aggregated,overview,cards,yes,tab,captured
OLD,/clients/:clientName,client-tab-cereri,tab,admin;manager;sales,Cereri client,intakes,list,links,yes,tab,captured
OLD,/clients/:clientName,client-tab-oferte,tab,admin;manager;sales,Oferte client,quotes,list,links,yes,tab,captured
OLD,/clients/:clientName,client-tab-comenzi,tab,admin;manager;sales,Comenzi client,orders,list,links,yes,tab,captured
OLD,/clients/:clientName,client-tab-timeline,tab,admin;manager;sales,Timeline comercial,linked objects,timeline,events,yes,tab,explained
OLD,/clients/:clientName,client-tab-facturi,tab,admin;manager;sales,Facturi placeholder,static empty,placeholder,empty,no,placeholder,not-applicable
OLD,/clients/:clientName,client-tab-documente,tab,admin;manager;sales,Documente placeholder,static,placeholder,empty,no,placeholder,not-applicable
OLD,/clients/:clientName,client-tab-note,tab,admin;manager;sales,Note placeholder,static,placeholder,empty,no,placeholder,not-applicable
OLD,/colaboratori,colaboratori,nav Colaboratori,manager;admin,Colaboratori externi,Colaboratori API,list,cards,yes,collaborators,captured
OLD,/documents,document-center,direct/deep,admin;manager;sales,Centru documente,docs API/mock,filtered list,search;filters,yes,hidden nav,captured
OLD,/documents,document-detail-drawer,row select,admin;manager;sales,Detaliu document,docs,drawer open,drawer,yes,drawer,explained
OLD,/reports,rapoarte,nav Rapoarte,admin;manager;sales,Rapoarte comerciale/ops,Reports API,db;mock,metric cards,yes,reports,captured
OLD,/reports/operational,operational-reports,DEV nav,admin-dev,Rapoarte realitate operațională,operational-reports API,5 tabs,tabs;filters,yes,dev audit,captured
OLD,/modules,harta-module,nav Harta,admin,Hartă module,static + links,reference,cross-links,yes,admin map,captured
OLD,/governance,guvernanta,nav Guvernanță,admin,Referință adevăr/politici,governanceData,tabbed,tabs;search,yes,owner surface,captured
OLD,/governance,gov-tab-ownership,tab,admin,Hartă ownership,static + docs,reference,sections,yes,gov tab,captured
OLD,/governance,gov-tab-boundaries,tab,admin,Limite sistem,governanceData,reference,cards,yes,gov tab,captured
OLD,/governance,gov-tab-status-flows,tab,admin,Fluxuri status,governanceData,reference,diagrams,yes,gov tab,explained
OLD,/governance,gov-tab-agents,tab,admin,Autoritate agenți,governanceData,reference,table,yes,gov tab,explained
OLD,/governance,gov-tab-truth,tab,admin,Ierarhie adevăr,governanceData,reference,tree,yes,gov tab,captured
OLD,/governance,gov-tab-gates,tab,admin,Owner gates,governanceData,reference,list,yes,gov tab,captured
OLD,/governance,gov-tab-guardrails,tab,admin,Guardrails,governanceData,reference,rules,yes,gov tab,explained
OLD,/governance,gov-tab-products-ref,tab,admin,Catalog referință,productCatalog static,reference,table,yes,gov tab,explained
OLD,/governance,gov-tab-ui-rules,tab,admin,Reguli UI,uiTruthRules,reference,rules,yes,gov tab,captured
OLD,/settings,setari-shell,nav Setări,admin,Mega-pagină setări,mixed API,tabbed,tabs,yes,settings,captured
OLD,/settings,settings-tab-societate,tab Societate,admin,Profil firmă + TVA/FX,static + commercial settings,warning,company;VAT;FX,yes,settings tab,captured
OLD,/settings,settings-tab-plati-repetitive,tab,admin,Plăți repetitive,recurring-payments API,CRUD,list;edit,yes,settings tab,captured
OLD,/settings,settings-tab-cost-intern,tab,admin,Config CostEngine,cost-engine API,readonly;edit,CostEngineTab,yes,settings tab,captured
OLD,/settings,settings-tab-integrari,tab,admin,Integrări,integrations API,health,IntegrationsTab,yes,settings tab,captured
OLD,(shell),shell-sidebar-drawer,all in-shell,role-filtered,Navigație globală,rbac,collapsed;drawer,nav sections,yes,IA matrix,captured
OLD,(shell),shell-topbar,all in-shell,authenticated,"Context, search, user",mock alerts,narrow;desktop,search;theme;logout,yes,chrome,captured
OLD,/employee-app,emp-mobile-v1-home,bottom nav,workforce,Acasă mobil,employee mobile API,blueprint;live,cards,yes,mobile home,captured
OLD,/employee-app/tasks,emp-mobile-v1-tasks,bottom nav,workforce,Sarcinile mele,operator tasks API,list;empty,list,yes,mobile tasks,captured
OLD,/employee-app/tasks/orders/:orderId/blueprint,emp-mobile-v1-order-blueprint,task drill,workforce,Blueprint comandă,order API,valid;invalid,blueprint,yes,mobile blueprint,explained
OLD,/employee-app/personal,emp-mobile-v1-personal,bottom nav,workforce,Hub personal,mixed,hub,links,yes,mobile personal,captured
OLD,/employee-app/requests,emp-mobile-v1-requests,personal,workforce,Cereri self-service,requests API,tabs,list;create,yes,mobile requests,captured
OLD,/employee-app/review,emp-mobile-v1-review,bottom nav,manager-mobile,Aprobare cereri,requests API,protected,review,yes,mobile review,captured
OLD,/employee-app/team,emp-mobile-v1-team,direct,manager-mobile,Echipă,INVESTIGATE,protected,team,yes,INVESTIGATE,captured
OLD,/employee-app/attendance,emp-mobile-v1-attendance,personal,workforce,Pontaj propriu,attendance API,self-only,panel,yes,mobile attendance,captured
OLD,/employee-app-v2,emp-mobile-v2-home,bottom nav,workforce,Acasă v2,v2 components,prototype,cards,yes,parallel prototype,captured
OLD,/employee-app-v2/tasks,emp-mobile-v2-tasks,bottom nav,workforce,Inbox sarcini v2,tasks API,list,cards,yes,v2 tasks,captured
OLD,/employee-app-v2/tasks/:taskId,emp-mobile-v2-task-detail,task row,workforce,Detaliu sarcină v2,tasks API,detail,actions,yes,v2 task,explained
OLD,/employee-app-v2/pipeline,emp-mobile-v2-pipeline,home links,workforce,Pipeline v2,INVESTIGATE,prototype,pipeline,yes,INVESTIGATE,captured
OLD,/employee-app-v2/documents,emp-mobile-v2-documents,home links,workforce,Documente v2,INVESTIGATE,prototype,docs,yes,INVESTIGATE,captured
OLD,/employee-app-v2/blockers,emp-mobile-v2-blockers,home links,workforce,Blocaje v2,INVESTIGATE,prototype,list,yes,INVESTIGATE,captured
OLD,/employee-app-v2/upcoming,emp-mobile-v2-upcoming,home links,workforce,Urmează v2,INVESTIGATE,prototype,list,yes,INVESTIGATE,captured
OLD,/employee-app-v2/personal,emp-mobile-v2-personal-hub,bottom nav,workforce,Personal v2,mixed,subroutes,hub,yes,v2 personal,captured
OLD,/employee-app-v2/personal/requests,emp-mobile-v2-personal-requests,subnav,workforce,Cereri v2,requests API,self-only,panel,yes,v2 requests,captured
OLD,/employee-app-v2/personal/attendance,emp-mobile-v2-personal-attendance,subnav,workforce,Pontaj v2,attendance API,self-only,panel,yes,v2 attendance,captured
OLD,/employee-app-v2/personal/info,emp-mobile-v2-personal-info,subnav,workforce,Info/acces v2,static/API,info,page,yes,v2 info,captured
OLD,/employee-app-v2/personal/review,emp-mobile-v2-personal-review,subnav,manager-mobile,Review v2,requests API,protected,review,yes,v2 review,captured
OLD,/intake/:id,intake-legacy-redirect,old bookmark,admin;manager;sales,Redirect V6,redirect,instant,none,no,redirect,not-applicable
OLD,/pricing,redirect-pricing,legacy,admin,Redirect prețuri,redirect,instant,none,no,redirect,not-applicable
OLD,/products,redirect-products,legacy,admin;manager;sales,Redirect catalog PS,redirect,instant,none,no,redirect,not-applicable
OLD,/product-system/components,ps-planned-section,direct only,admin,Secțiune PS planificată,static placeholder,non-operational,back link,no,placeholder,not-applicable
OLD,/demo/commercial-spine,demo-commercial-spine,DEV nav,admin-dev,Demo spine comercial,demo fixtures,audit,panels,no,dev demo,not-applicable
OLD,/demo/volumetric-letter-preview,demo-volumetric-preview,DEV nav,admin-dev,Demo preview volumetric,demo,audit,canvas,no,dev demo,not-applicable
